"movie_odid","display_name","territory","release_date","total_box_office","currency","local_box_office","opening_weekend_revenue","opening_weekend_theaters","maximum_theaters","theatrical_engagements","average(High (F))","average(Low (F))","average(Precip (in.))","average(Normal High (F))","average(Normal Low (F))","average(Normal Precip (in.))","Opening Percentage"
311220100,"What Men Want","United Kingdom",3/15/19 12:00 AM,3624737,"£ - Pound Sterling",2785973.0,1110891,495,495,1562,53.333333333333336,45.333333333333336,0.14666666666666667,48.666666666666664,37.333333333333336,0.0,30.647492493938184
312850100,"Hannah","United Kingdom",3/1/19 12:00 AM,11737,"£ - Pound Sterling",8877.0,11737,12,12,12,53.0,44.666666666666664,0.0,46.666666666666664,36.333333333333336,0.06333333333333334,100.0
313810100,"Fighting With My Family","United Kingdom",3/1/19 12:00 AM,7705332,"£ - Pound Sterling",6376162.0,2673772,573,573,2738,53.0,44.666666666666664,0.0,46.666666666666664,36.333333333333336,0.06333333333333334,34.700282869057425
313950100,"Instant Family","United Kingdom",2/15/19 12:00 AM,13632203,"£ - Pound Sterling",1.0459989E7,3175435,536,562,3271,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,23.293630530589958
315920100,"The Favourite","United Kingdom",1/4/19 12:00 AM,24900000,"£ - Pound Sterling",1.6965411E7,5063034,538,617,4606,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,20.333469879518073
316820100,"Monsters and Men","United Kingdom",1/18/19 12:00 AM,10886,"£ - Pound Sterling",8440.0,10886,16,16,16,41.333333333333336,30.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,100.0
318510100,"Life Itself","United Kingdom",1/4/19 12:00 AM,68965,"£ - Pound Sterling",54131.0,68965,35,35,35,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
320040100,"The Kindergarten Teacher","United Kingdom",3/8/19 12:00 AM,79841,"£ - Pound Sterling",61366.0,79841,73,73,73,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,100.0
320220100,"Colette","United Kingdom",1/11/19 12:00 AM,3240617,"£ - Pound Sterling",2490738.0,1011978,321,321,1059,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,31.22794208633726
320650100,"RBG","United Kingdom",1/4/19 12:00 AM,49656,"£ - Pound Sterling",38975.0,49656,21,21,21,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
321140100,"A Dog’s Way Home","United Kingdom",1/25/19 12:00 AM,2834384,"£ - Pound Sterling",2245966.0,930007,443,445,2904,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,32.81160915387611
321240100,"Miss Bala","United Kingdom",3/8/19 12:00 AM,43264,"£ - Pound Sterling",32582.0,24502,107,107,126,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,56.63369082840237
322750100,"Being Frank: The Chris Sievey Story","United Kingdom",3/29/19 12:00 AM,70354,"£ - Pound Sterling",55833.0,27877,24,24,58,58.0,34.666666666666664,0.0,51.0,39.0,0.0,39.6239019814083
324950100,"La Villa","United Kingdom",1/11/19 12:00 AM,7914,"£ - Pound Sterling",6166.0,7914,4,4,4,47.0,39.333333333333336,0.006666666666666667,43.333333333333336,35.666666666666664,0.0033333333333333335,100.0
327800100,"On the Basis of Sex","United Kingdom",2/22/19 12:00 AM,2036986,"£ - Pound Sterling",1601071.0,599652,452,452,1049,60.0,43.666666666666664,0.0,45.0,35.666666666666664,0.0,29.438199378886253
327860100,"Den 12. mann","United Kingdom",1/4/19 12:00 AM,301,"£ - Pound Sterling",236.0,301,2,2,2,40.333333333333336,34.333333333333336,0.0,43.666666666666664,35.666666666666664,0.0033333333333333335,100.0
328690100,"Jellyfish","United Kingdom",2/15/19 12:00 AM,39351,"£ - Pound Sterling",30265.0,14792,9,9,23,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,37.58989606363244
328710100,"Green Book","United Kingdom",2/1/19 12:00 AM,13241209,"£ - Pound Sterling",1.040759E7,2190077,557,573,4181,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,16.53985674570955
330040100,"Happy Death Day 2U","United Kingdom",2/14/19 12:00 AM,1979075,"£ - Pound Sterling",1518544.0,945557,436,436,1178,52.0,35.666666666666664,0.0033333333333333335,44.0,35.666666666666664,0.01,47.77772444197416
330250100,"Escape Room","United Kingdom",2/1/19 12:00 AM,3337901,"£ - Pound Sterling",2565511.0,1074005,373,373,1547,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,32.17605914615203
331180100,"Todos lo saben","United Kingdom",3/8/19 12:00 AM,377582,"£ - Pound Sterling",284357.0,153630,54,85,139,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,40.68785058609786
331210100,"A Private War","United Kingdom",2/15/19 12:00 AM,724889,"£ - Pound Sterling",551713.0,287269,74,90,274,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,39.62937773921249
331890100,"The Vanishing","United Kingdom",3/29/19 12:00 AM,57466,"£ - Pound Sterling",44082.0,8946,23,23,43,58.0,34.666666666666664,0.0,51.0,39.0,0.0,15.567465979883757
331900100,"At Eternity’s Gate","United Kingdom",3/29/19 12:00 AM,455169,"£ - Pound Sterling",358309.0,76688,34,41,165,58.0,34.666666666666664,0.0,51.0,39.0,0.0,16.848247573978018
332160100,"Beoning","United Kingdom",2/1/19 12:00 AM,51990,"£ - Pound Sterling",39705.0,51990,34,34,34,37.666666666666664,29.666666666666668,0.12,43.666666666666664,35.666666666666664,0.08666666666666667,100.0
332440100,"Cafarnaúm","United Kingdom",2/22/19 12:00 AM,183941,"£ - Pound Sterling",140770.0,183941,48,48,48,60.0,43.666666666666664,0.0,45.0,35.666666666666664,0.0,100.0
333950100,"The Aftermath","United Kingdom",3/1/19 12:00 AM,2515378,"£ - Pound Sterling",1914454.0,787594,562,562,1688,53.0,44.666666666666664,0.0,46.666666666666664,36.333333333333336,0.06333333333333334,31.311158799989503
333960100,"Mektoub is Mektoub","United Kingdom",2/15/19 12:00 AM,4659,"£ - Pound Sterling",3624.0,4659,8,8,8,56.666666666666664,37.0,0.0,44.0,35.666666666666664,0.0,100.0
334620100,"Five Feet Apart","United Kingdom",3/22/19 12:00 AM,1265138,"£ - Pound Sterling",995917.0,334886,204,204,781,53.0,46.333333333333336,0.006666666666666667,50.0,38.333333333333336,0.0,26.470313910419257
334830100,"The Mule","United Kingdom",1/25/19 12:00 AM,2630000,"£ - Pound Sterling",2161860.0,955934,462,462,887,51.0,40.0,0.02666666666666667,43.333333333333336,35.666666666666664,0.0,36.347300380228134
336270100,"Minding the Gap","United Kingdom",3/22/19 12:00 AM,17109,"£ - Pound Sterling",12943.0,17109,17,17,17,53.0,46.333333333333336,0.006666666666666667,50.0,38.333333333333336,0.0,100.0
336530100,"Plaire, aimer et courir vite","United Kingdom",3/22/19 12:00 AM,10961,"£ - Pound Sterling",8292.0,10961,5,5,5,53.0,46.333333333333336,0.006666666666666667,50.0,38.333333333333336,0.0,100.0
337670100,"Gräns","United Kingdom",3/8/19 12:00 AM,102041,"£ - Pound Sterling",78429.0,102041,49,49,49,48.333333333333336,38.333333333333336,0.13333333333333333,47.666666666666664,36.666666666666664,0.0,100.0
338860100,"Se Rokh","United Kingdom",3/29/19 12:00 AM,9519,"£ - Pound Sterling",7304.0,9519,11,11,11,58.0,34.666666666666664,0.0,51.0,39.0,0.0,100.0
343850100,"The Prodigy","United Kingdom",3/15/19 12:00 AM,128675,"£ - Pound Sterling",96905.0,128675,92,92,92,53.333333333333336,45.333333333333336,0.14666666666666667,48.666666666666664,37.333333333333336,0.0,100.0
345250100,"Ben is Back","United Kingdom",3/15/19 12:00 AM,109154,"£ - Pound Sterling",82204.0,109154,114,114,114,53.333333333333336,45.333333333333336,0.14666666666666667,48.666666666666664,37.333333333333336,0.0,100.0
