"movie_odid","display_name","release_date","total_box_office","local_box_office","opening_weekend_revenue","opening_weekend_theaters","average(High (F))","average(Low (F))","average(Precip (in.))","average(Normal High (F))","average(Normal Low (F))","average(Normal Precip (in.))","Opening Percentage"
333390100,"Ahlat Agaci",3/29/19 12:00 AM,10698,9447.0,1764,3,71.5,48.5,0.0,62.5,48.5,0.0,16.489063376332027
333960100,"Mektoub is Mektoub",2/1/19 12:00 AM,6828,6088.0,975,1,54.5,47.0,0.37,57.0,43.5,0.16499999999999998,14.279437609841828
334830100,"The Mule",2/1/19 12:00 AM,914865,813864.0,230518,73,54.5,47.0,0.37,57.0,43.5,0.16499999999999998,25.196941625267115
336200100,"All the Devil's Men",1/25/19 12:00 AM,14185,12436.0,8766,14,65.0,46.0,0.0,56.5,43.0,0.0,61.79767359887205
337670100,"Gräns",3/8/19 12:00 AM,4935,4395.0,754,3,60.5,47.5,0.015,59.5,46.5,0.005,15.278622087132726
337850100,"Transit",1/25/19 12:00 AM,16355,14420.0,4714,4,65.0,46.0,0.0,56.5,43.0,0.0,28.822989911342095
343250100,"Den Skyldige",1/18/19 12:00 AM,27770,24518.0,14869,13,52.0,42.0,0.105,56.0,43.0,0.005,53.543392149801946
343310100,"Le doudou",1/18/19 12:00 AM,750,660.0,750,2,52.0,42.0,0.105,56.0,43.0,0.005,100.0
343850100,"The Prodigy",3/1/19 12:00 AM,192617,171718.0,53832,36,61.5,49.0,0.0,59.5,45.5,0.155,27.947688937113547
346590100,"Dragon Ball Super: Broly",3/15/19 12:00 AM,154567,137441.0,82988,57,67.5,41.5,0.0,60.5,47.0,0.0,53.69063254122808
357950100,"Monrovia, Indiana",2/22/19 12:00 AM,652,575.0,652,1,70.5,49.5,0.0,59.0,44.5,0.005,100.0
362150100,"O Grande Circo Místico",1/4/19 12:00 AM,25078,22256.0,11215,21,57.5,41.0,0.0,56.0,43.5,0.005,44.72047212696387
362930100,"Stan & Ollie",3/1/19 12:00 AM,55472,48977.0,20695,46,61.5,49.0,0.0,59.5,45.5,0.155,37.307109893279495
364250100,"Vox Lux",1/11/19 12:00 AM,20773,18282.0,13152,20,55.0,41.5,0.0,56.0,43.0,0.0,63.31295431569826
